"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"V1",700,1,19,25,700,2,54,0,700,3,39,0,700,4,56,2,700,5,64,0,700,6,51,0,700,7,43,0,700,8,54,0,200,1,13,5,200,2,36,0,200,3,21,0,200,4,22,0,200,5,25,0,200,6,18,0,200,7,40,0,200,8,34,0,500,1,32,20,500,2,38,0,500,3,36,0,500,4,40,0,500,5,37,0,500,6,60,0,500,7,42,0,500,8,55,0
"V2",700,1,29,18,700,2,22,0,700,3,79,0,700,4,45,0,700,5,67,0,700,6,44,1,700,7,54,0,700,8,60,1,200,1,11,22,200,2,23,2,200,3,32,0,200,4,19,0,200,5,26,0,200,6,20,0,200,7,25,0,200,8,33,0,500,1,69,1,500,2,19,0,500,3,24,3,500,4,38,0,500,5,43,0,500,6,39,0,500,7,40,0,500,8,32,1
"V3",700,1,27,24,700,2,19,8,700,3,24,0,700,4,43,0,700,5,54,1,700,6,35,0,700,7,63,2,700,8,77,0,200,1,30,1,200,2,17,2,200,3,22,0,200,4,20,0,200,5,22,0,200,6,31,0,200,7,30,1,200,8,28,0,500,1,38,3,500,2,48,0,500,3,35,1,500,4,41,0,500,5,41,0,500,6,38,0,500,7,52,0,500,8,61,0
"V4",700,1,33,9,700,2,28,5,700,3,28,0,700,4,67,1,700,5,62,0,700,6,69,0,700,7,44,0,700,8,86,0,200,1,19,0,200,2,23,3,200,3,14,0,200,4,18,0,200,5,35,1,200,6,29,0,200,7,36,0,200,8,32,0,500,1,16,30,500,2,39,4,500,3,23,0,500,4,35,0,500,5,46,0,500,6,49,0,500,7,64,0,500,8,37,0
"V5",700,1,42,7,700,2,19,0,700,3,72,1,700,4,56,0,700,5,61,0,700,6,42,0,700,7,43,1,700,8,54,1,200,1,11,7,200,2,21,1,200,3,30,0,200,4,34,0,200,5,33,0,200,6,40,0,200,7,32,0,200,8,39,1,500,1,21,18,500,2,21,11,500,3,50,0,500,4,30,1,500,5,54,0,500,6,58,0,500,7,62,0,500,8,44,0
"V6",700,1,13,34,700,2,39,4,700,3,30,0,700,4,53,0,700,5,52,0,700,6,43,0,700,7,63,0,700,8,70,0,200,1,20,7,200,2,18,0,200,3,35,1,200,4,23,0,200,5,32,0,200,6,25,0,200,7,47,0,200,8,42,0,500,1,32,2,500,2,32,1,500,3,50,0,500,4,40,0,500,5,46,0,500,6,50,0,500,7,75,1,500,8,42,0
"V7",700,1,16,34,700,2,28,1,700,3,88,2,700,4,38,0,700,5,55,0,700,6,33,0,700,7,49,1,700,8,60,0,200,1,11,12,200,2,30,0,200,3,20,0,200,4,17,1,200,5,30,0,200,6,40,0,200,7,28,0,200,8,34,0,500,1,24,37,500,2,29,0,500,3,29,0,500,4,71,0,500,5,45,0,500,6,60,0,500,7,49,0,500,8,65,0
"V8",700,1,39,32,700,2,24,1,700,3,97,0,700,4,49,0,700,5,74,0,700,6,58,0,700,7,56,0,700,8,87,0,200,1,24,0,200,2,22,2,200,3,29,0,200,4,26,0,200,5,34,0,200,6,30,0,200,7,36,0,200,8,33,0,500,1,23,21,500,2,22,9,500,3,34,0,500,4,35,0,500,5,33,0,500,6,50,1,500,7,50,0,500,8,49,0
"V9",700,1,44,22,700,2,32,0,700,3,35,0,700,4,63,0,700,5,47,0,700,6,46,1,700,7,49,0,700,8,49,0,200,1,16,1,200,2,27,2,200,3,19,0,200,4,20,1,200,5,34,1,200,6,34,1,200,7,29,0,200,8,48,1,500,1,24,39,500,2,38,2,500,3,21,0,500,4,55,0,500,5,70,0,500,6,43,0,500,7,60,0,500,8,61,0
"V10",700,1,39,5,700,2,51,0,700,3,32,2,700,4,58,0,700,5,77,0,700,6,80,0,700,7,84,0,700,8,58,0,200,1,15,2,200,2,33,2,200,3,28,0,200,4,36,0,200,5,39,0,200,6,24,0,200,7,37,0,200,8,30,0,500,1,18,37,500,2,39,0,500,3,35,0,500,4,31,0,500,5,39,0,500,6,50,0,500,7,59,0,500,8,47,0
