"","Pasos","Dimension","Valor M","Origen"
"V1","50","1",5,7
"V2","50","1",6,6
"V3","50","1",5,9
"V4","50","1",22,1
"V5","50","1",8,1
"V6","50","1",6,13
"V7","50","1",7,6
"V8","50","1",6,8
"V9","50","1",10,2
"V10","50","1",3,6
"V11","50","1",8,7
"V12","50","1",13,5
"V13","50","1",6,8
"V14","50","1",12,4
"V15","50","1",5,7
"V16","50","1",4,8
"V17","50","1",9,3
"V18","50","1",9,5
"V19","50","1",7,7
"V20","50","1",9,0
"V21","50","1",5,3
"V22","50","1",3,12
"V23","50","1",9,1
"V24","50","1",7,7
"V25","50","1",9,2
"V26","50","1",7,6
"V27","50","1",7,5
"V28","50","1",6,0
"V29","50","1",6,5
"V30","50","1",8,7
"V31","50","1",5,3
"V32","50","1",3,12
"V33","50","1",8,6
"V34","50","1",5,10
"V35","50","1",6,5
"V36","50","1",6,11
"V37","50","1",5,6
"V38","50","1",6,0
"V39","50","1",5,10
"V40","50","1",4,11
"V41","50","1",6,4
"V42","50","1",4,11
"V43","50","1",6,7
"V44","50","1",11,7
"V45","50","1",10,9
"V46","50","1",4,2
"V47","50","1",6,7
"V48","50","1",6,8
"V49","50","1",10,6
"V50","50","1",8,0
"V51","50","1",8,5
"V52","50","1",3,12
"V53","50","1",11,0
"V54","50","1",8,8
"V55","50","1",4,7
"V56","50","1",7,15
"V57","50","1",4,12
"V58","50","1",8,4
"V59","50","1",15,2
"V60","50","1",9,6
"V61","50","1",8,0
"V62","50","1",5,7
"V63","50","1",5,9
"V64","50","1",13,2
"V65","50","1",5,2
"V66","50","1",7,2
"V67","50","1",5,10
"V68","50","1",10,7
"V69","50","1",12,1
"V70","50","1",12,4
"V71","50","1",6,4
"V72","50","1",6,11
"V73","50","1",10,2
"V74","50","1",10,8
"V75","50","1",16,0
"V76","50","1",9,7
"V77","50","1",12,2
"V78","50","1",6,2
"V79","50","1",12,6
"V80","50","1",8,2
"V81","50","1",14,0
"V82","50","1",12,7
"V83","50","1",4,11
"V84","50","1",6,11
"V85","50","1",6,5
"V86","50","1",8,6
"V87","50","1",14,5
"V88","50","1",13,1
"V89","50","1",8,0
"V90","50","1",10,0
"V91","50","1",10,2
"V92","50","1",11,1
"V93","50","1",7,8
"V94","50","1",5,6
"V95","50","1",13,1
"V96","50","1",8,4
"V97","50","1",8,8
"V98","50","1",6,2
"V99","50","1",11,6
"V100","50","1",3,13
"V101","50","1",10,1
"V102","50","1",5,9
"V103","50","1",5,7
"V104","50","1",5,8
"V105","50","1",5,7
"V106","50","1",7,3
"V107","50","1",9,5
"V108","50","1",8,7
"V109","50","1",5,6
"V110","50","1",7,4
"V111","50","1",5,5
"V112","50","1",8,6
"V113","50","1",4,6
"V114","50","1",3,8
"V115","50","1",7,11
"V116","50","1",7,5
"V117","50","1",10,1
"V118","50","1",12,1
"V119","50","1",18,1
"V120","50","1",13,2
"V121","50","1",6,3
"V122","50","1",4,11
"V123","50","1",10,9
"V124","50","1",5,14
"V125","50","1",4,10
"V126","50","1",13,3
"V127","50","1",9,2
"V128","50","1",10,2
"V129","50","1",7,6
"V130","50","1",11,0
"V131","50","1",9,7
"V132","50","1",12,0
"V133","50","1",9,7
"V134","50","1",5,7
"V135","50","1",4,11
"V136","50","1",5,11
"V137","50","1",7,2
"V138","50","1",5,15
"V139","50","1",4,8
"V140","50","1",4,12
"V141","50","1",6,9
"V142","50","1",3,15
"V143","50","1",14,0
"V144","50","1",6,9
"V145","50","1",7,3
"V146","50","1",7,10
"V147","50","1",6,8
"V148","50","1",9,1
"V149","50","1",6,6
"V150","50","1",10,3
"V151","50","1",5,6
"V152","50","1",6,0
"V153","50","1",4,11
"V154","50","1",6,2
"V155","50","1",12,0
"V156","50","1",8,9
"V157","50","1",3,10
"V158","50","1",6,10
"V159","50","1",10,3
"V160","50","1",5,7
"V161","50","1",12,4
"V162","50","1",5,3
"V163","50","1",7,4
"V164","50","1",5,11
"V165","50","1",7,6
"V166","50","1",6,4
"V167","50","1",6,6
"V168","50","1",10,0
"V169","50","1",7,6
"V170","50","1",14,0
"V171","50","1",6,3
"V172","50","1",9,1
"V173","50","1",6,7
"V174","50","1",10,10
"V175","50","1",6,6
"V176","50","1",4,5
"V177","50","1",5,8
"V178","50","1",4,9
"V179","50","1",13,4
"V180","50","1",11,0
"V181","50","1",8,5
"V182","50","1",9,1
"V183","50","1",9,2
"V184","50","1",5,5
"V185","50","1",8,5
"V186","50","1",10,8
"V187","50","1",13,0
"V188","50","1",6,6
"V189","50","1",5,3
"V190","50","1",5,9
"V191","50","1",6,8
"V192","50","1",4,9
"V193","50","1",6,6
"V194","50","1",8,1
"V195","50","1",8,11
"V196","50","1",6,0
"V197","50","1",8,1
"V198","50","1",6,1
"V199","50","1",9,4
"V200","50","1",15,1
"V201","50","1",6,5
"V202","50","1",7,0
"V203","50","1",3,9
"V204","50","1",10,7
"V205","50","1",12,0
"V206","50","1",8,3
"V207","50","1",17,1
"V208","50","1",9,2
"V209","50","1",13,0
"V210","50","1",13,3
"V211","50","1",8,10
"V212","50","1",4,13
