"","Pasos","Dimension","Valor M","Tiempo"
"V1","50","1",11,0.00180792808532715
"V2","50","1",7,0.00220203399658203
"V3","50","1",12,0.00670886039733887
"V4","50","1",7,0.00197410583496094
"V5","50","1",10,0.00754189491271973
"V6","50","1",16,0.00196695327758789
"V7","50","1",10,0.00420498847961426
"V8","50","1",8,0.00499486923217773
"V9","50","1",7,0.000777006149291992
"V10","50","1",7,0.00115418434143066
"V11","50","1",11,0.0013730525970459
"V12","50","1",6,0.00153398513793945
"V13","50","1",12,0.00215387344360352
"V14","50","1",6,0.00241804122924805
"V15","50","1",20,0.00119209289550781
"V16","50","1",18,0.00113201141357422
"V17","50","1",2,0.00181317329406738
"V18","50","1",7,0.00169706344604492
"V19","50","1",11,0.00172114372253418
"V20","50","1",4,0.00146698951721191
"V21","50","1",12,0.00198197364807129
"V22","50","1",8,0.00366115570068359
"V23","50","1",4,0.00271010398864746
"V24","50","1",5,0.0018460750579834
"V25","50","1",7,0.00328302383422852
"V26","50","1",6,0.00259590148925781
"V27","50","1",7,0.00142407417297363
"V28","50","1",9,0.00133681297302246
"V29","50","1",4,0.00142812728881836
"V30","50","1",6,0.00144386291503906
"V31","50","1",7,0.00113105773925781
"V32","50","1",4,0.000885963439941406
"V33","50","1",8,0.000869035720825195
"V34","50","1",5,0.00219607353210449
"V35","50","1",4,0.00217890739440918
"V36","50","1",3,0.00230193138122559
"V37","50","1",5,0.00589895248413086
"V38","50","1",11,0.00203490257263184
"V39","50","1",9,0.00211095809936523
"V40","50","1",10,0.00206398963928223
"V41","50","1",10,0.0136120319366455
"V42","50","1",10,0.00163006782531738
"V43","50","1",10,0.00169587135314941
"V44","50","1",8,0.0016019344329834
"V45","50","1",3,0.00230693817138672
"V46","50","1",5,0.00162887573242188
"V47","50","1",6,0.00152993202209473
"V48","50","1",10,0.00161218643188477
"V49","50","1",9,0.00104498863220215
"V50","50","1",4,0.00104498863220215
"V51","50","1",9,0.0010678768157959
"V52","50","1",9,0.00101804733276367
"V53","50","1",10,0.000998020172119141
"V54","50","1",10,0.00177311897277832
