"","Pasos","Dimension","Valor M","Tiempo"
"1","500","1",18,0.00939202308654785
"2","500","1",38,0.0127420425415039
"3","500","1",25,0.0106151103973389
"4","500","1",27,0.0128021240234375
"5","500","1",16,0.0106451511383057
"6","500","1",21,0.0139298439025879
"7","500","1",20,0.149781942367554
"8","500","1",25,0.00808620452880859
"9","500","1",20,0.00790095329284668
"10","500","1",45,0.00878214836120605
"11","500","1",21,0.010390043258667
"12","500","1",33,0.0107049942016602
"13","500","1",35,0.0104658603668213
"14","500","1",22,0.0111031532287598
"15","500","1",26,0.0108089447021484
"16","500","1",29,0.0160620212554932
"17","500","1",46,0.00813889503479004
"18","500","1",21,0.00764107704162598
"19","500","1",46,0.00919198989868164
"20","500","1",16,0.00873112678527832
"21","500","1",21,0.00767707824707031
"22","500","1",36,0.00942206382751465
"23","500","1",29,0.0114109516143799
"24","500","1",54,0.00771784782409668
"25","500","1",17,0.0148370265960693
"26","500","1",16,0.00767612457275391
"27","500","1",46,0.00768089294433594
"28","500","1",40,0.00766396522521973
"29","500","1",14,0.00773215293884277
"30","500","1",14,0.0126328468322754
"31","500","1",16,0.00979900360107422
"32","500","1",31,0.0110130310058594
"33","500","1",29,0.00791716575622559
"34","500","1",30,0.0156347751617432
"35","500","1",50,0.00990700721740723
"36","500","1",45,0.0108821392059326
"37","500","1",63,0.00879597663879395
"38","500","1",35,0.00969600677490234
"39","500","1",30,0.00867795944213867
"40","500","1",36,0.00833296775817871
"41","500","1",15,0.00834417343139648
"42","500","1",13,0.0135340690612793
"43","500","1",36,0.0118868350982666
"44","500","1",15,0.0085301399230957
"45","500","1",38,0.00855207443237305
"46","500","1",34,0.00856900215148926
"47","500","1",16,0.00877809524536133
"48","500","1",15,0.00800704956054688
"49","500","1",25,0.00869107246398926
"50","500","1",16,0.00780797004699707
"51","500","1",42,0.0129761695861816
"52","500","1",24,0.00797104835510254
"53","500","1",26,0.0116579532623291
"54","500","1",34,0.00800919532775879
"55","500","1",21,0.0077369213104248
"56","500","1",18,0.0113780498504639
"57","500","1",21,0.0146808624267578
"58","500","1",16,0.0084691047668457
"59","500","1",36,0.0081479549407959
"60","500","1",24,0.0143530368804932
"61","500","1",27,0.00780010223388672
"62","500","1",16,0.0106751918792725
"63","500","1",11,0.00796699523925781
"64","500","1",30,0.00779485702514648
"65","500","1",42,0.0101010799407959
"66","500","1",65,0.0078270435333252
"67","500","1",11,0.0103499889373779
"68","500","1",15,0.0104489326477051
"69","500","1",37,0.0134000778198242
"70","500","1",29,0.00793194770812988
"71","500","1",34,0.00818395614624023
"72","500","1",46,0.0121970176696777
"73","500","1",30,0.00825786590576172
"74","500","1",42,0.00777888298034668
"75","500","1",32,0.0100681781768799
"76","500","1",12,0.00797581672668457
"77","500","1",18,0.0092771053314209
"78","500","1",36,0.0161669254302979
"79","500","1",35,0.00817704200744629
"80","500","1",36,0.00768303871154785
"81","500","1",22,0.0119099617004395
"82","500","1",40,0.0131759643554688
"83","500","1",22,0.00819611549377441
"84","500","1",20,0.0123929977416992
"85","500","1",14,0.0136189460754395
"86","500","1",43,0.0135660171508789
"87","500","1",16,0.00772714614868164
"88","500","1",26,0.00993204116821289
"89","500","1",36,0.0102648735046387
"90","500","1",41,0.00783300399780273
"91","500","1",32,0.00755405426025391
"92","500","1",16,0.00779080390930176
"93","500","1",21,0.00756597518920898
"94","500","1",43,0.0125899314880371
"95","500","1",22,0.0121359825134277
"96","500","1",27,0.00766396522521973
"97","500","1",15,0.0124728679656982
"98","500","1",23,0.00787091255187988
"99","500","1",20,0.00760006904602051
"100","500","1",16,0.0103700160980225
"101","500","2",44,0.00968599319458008
"102","500","2",19,0.00769901275634766
"103","500","2",20,0.00785708427429199
"104","500","2",47,0.016373872756958
"105","500","2",59,0.00809097290039062
"106","500","2",29,0.0128180980682373
"107","500","2",29,0.00797605514526367
"108","500","2",36,0.00779891014099121
"109","500","2",20,0.00774502754211426
"110","500","2",55,0.0121018886566162
"111","500","2",34,0.00956106185913086
"112","500","2",25,0.00813102722167969
"113","500","2",45,0.0136020183563232
"114","500","2",66,0.00781106948852539
"115","500","2",23,0.00778603553771973
"116","500","2",30,0.00769400596618652
"117","500","2",49,0.00767612457275391
"118","500","2",20,0.00777006149291992
"119","500","2",24,0.00848197937011719
"120","500","2",48,0.00786614418029785
"121","500","2",33,0.00813078880310059
"122","500","2",38,0.0120339393615723
"123","500","2",31,0.00777411460876465
"124","500","2",25,0.00773000717163086
"125","500","2",38,0.00774002075195312
"126","500","2",45,0.00776791572570801
"127","500","2",41,0.00771594047546387
"128","500","2",28,0.00766086578369141
"129","500","2",26,0.00811290740966797
"130","500","2",45,0.011807918548584
"131","500","2",24,0.00786495208740234
"132","500","2",44,0.0078880786895752
"133","500","2",58,0.00775980949401855
"134","500","2",40,0.00770902633666992
"135","500","2",38,0.0096428394317627
"136","500","2",42,0.0107331275939941
"137","500","2",39,0.00796198844909668
"138","500","2",48,0.0078120231628418
"139","500","2",35,0.0114219188690186
"140","500","2",48,0.00773000717163086
"141","500","2",35,0.00775003433227539
"142","500","2",43,0.00763916969299316
"143","500","2",33,0.0077970027923584
"144","500","2",13,0.00877809524536133
"145","500","2",25,0.0100419521331787
"146","500","2",50,0.0101461410522461
"147","500","2",37,0.0102548599243164
"148","500","2",14,0.030846118927002
"149","500","2",37,0.00889086723327637
"150","500","2",28,0.0111730098724365
"151","500","2",70,0.00821208953857422
"152","500","2",37,0.0152459144592285
"153","500","2",48,0.0105421543121338
"154","500","2",15,0.0100359916687012
"155","500","2",17,0.00926804542541504
"156","500","2",48,0.0157101154327393
"157","500","2",43,0.0082249641418457
"158","500","2",25,0.00769305229187012
"159","500","2",37,0.00898909568786621
