"","Pasos","Dimension","Valor M","Tiempo"
"V1","500","1",29,0.0351710319519043
"V2","500","1",28,0.0161018371582031
"V3","500","1",46,0.0118439197540283
"V4","500","1",18,0.00791692733764648
"V5","500","1",71,0.0127949714660645
"V6","500","1",24,0.0155520439147949
"V7","500","1",37,0.0098271369934082
"V8","500","1",22,0.0160200595855713
"V9","500","1",31,0.0118920803070068
"V10","500","1",20,0.0154819488525391
"V11","500","1",25,0.0119349956512451
"V12","500","1",19,0.0122771263122559
"V13","500","1",46,0.0144739151000977
"V14","500","1",18,0.00998306274414062
"V15","500","1",23,0.0137290954589844
"V16","500","1",19,0.012437105178833
"V17","500","1",25,0.0165610313415527
"V18","500","1",16,0.0166740417480469
"V19","500","1",35,0.0128250122070312
"V20","500","1",24,0.0146000385284424
"V21","500","1",41,0.00979900360107422
"V22","500","1",36,0.0107579231262207
"V23","500","1",24,0.0115270614624023
"V24","500","1",29,0.0142190456390381
"V25","500","1",20,0.0100369453430176
"V26","500","1",18,0.0107259750366211
"V27","500","1",23,0.0085761547088623
"V28","500","1",15,0.00772404670715332
"V29","500","1",16,0.012545108795166
"V30","500","1",24,0.0129468441009521
"V31","500","1",23,0.0107748508453369
"V32","500","1",14,0.0144901275634766
"V33","500","1",47,0.00883603096008301
"V34","500","1",12,0.0288820266723633
"V35","500","1",47,0.0222442150115967
"V36","500","1",8,0.0141491889953613
"V37","500","1",26,0.00888705253601074
"V38","500","1",33,0.0101308822631836
"V39","500","1",47,0.0257759094238281
"V40","500","1",21,0.0149228572845459
"V41","500","1",53,0.0138051509857178
"V42","500","1",16,0.0105969905853271
"V43","500","1",25,0.0160298347473145
"V44","500","1",39,0.0135390758514404
"V45","500","1",43,0.0127201080322266
"V46","500","1",34,0.0147230625152588
"V47","500","1",10,0.0122768878936768
"V48","500","1",19,0.0140581130981445
"V49","500","1",28,0.00848102569580078
"V50","500","1",19,0.0110571384429932
"V51","500","1",12,0.0251450538635254
"V52","500","1",13,0.012782096862793
"V53","500","1",31,0.0139350891113281
"V54","500","1",21,0.0117261409759521
"V55","500","1",22,0.00915789604187012
"V56","500","1",35,0.00822901725769043
"V57","500","1",27,0.0144598484039307
"V58","500","1",38,0.0106828212738037
"V59","500","1",11,0.010746955871582
"V60","500","1",29,0.0132148265838623
"V61","500","1",19,0.0109670162200928
"V62","500","1",23,0.0132029056549072
"V63","500","1",18,0.0138068199157715
"V64","500","1",14,0.0107648372650146
"V65","500","1",15,0.0108211040496826
"V66","500","1",20,0.00746989250183105
"V67","500","1",26,0.00930404663085938
"V68","500","1",29,0.0353260040283203
"V69","500","1",20,0.0181469917297363
"V70","500","1",26,0.0174770355224609
"V71","500","1",44,0.0187029838562012
"V72","500","1",24,0.0161120891571045
"V73","500","1",16,0.014117956161499
"V74","500","1",20,0.00819802284240723
"V75","500","1",14,0.0107371807098389
"V76","500","1",9,0.0217719078063965
"V77","500","1",30,0.0130009651184082
"V78","500","1",23,0.00958681106567383
"V79","500","1",30,0.0103490352630615
"V80","500","1",22,0.0127570629119873
"V81","500","1",38,0.00951004028320312
"V82","500","1",19,0.0109438896179199
"V83","500","1",52,0.00896716117858887
"V84","500","1",35,0.0165050029754639
"V85","500","1",22,0.0153601169586182
"V86","500","1",19,0.0075538158416748
"V87","500","1",13,0.0101499557495117
"V88","500","1",41,0.0076148509979248
"V89","500","1",29,0.0141868591308594
"V90","500","1",19,0.00986123085021973
"V91","500","1",32,0.0145490169525146
"V92","500","1",41,0.0131080150604248
"V93","500","1",29,0.0174579620361328
"V94","500","1",21,0.0142982006072998
"V95","500","1",29,0.0146799087524414
"V96","500","1",43,0.0116097927093506
"V97","500","1",24,0.010012149810791
"V98","500","1",51,0.0107071399688721
"V99","500","1",26,0.0146431922912598
"V100","500","1",27,0.00872516632080078
"V110","500","2",43,0.00942707061767578
"V210","500","2",40,0.0258998870849609
"V310","500","2",47,0.011415958404541
"V410","500","2",48,0.016016960144043
"V510","500","2",28,0.0126190185546875
"V610","500","2",28,0.0174200534820557
"V710","500","2",42,0.0106079578399658
"V810","500","2",29,0.0120627880096436
"V910","500","2",29,0.0110890865325928
"V101","500","2",45,0.0135390758514404
"V111","500","2",18,0.0116620063781738
"V121","500","2",27,0.0119531154632568
"V131","500","2",26,0.0186021327972412
"V141","500","2",38,0.0147929191589355
"V151","500","2",50,0.0160291194915771
"V161","500","2",45,0.0188429355621338
"V171","500","2",33,0.0149469375610352
"V181","500","2",25,0.0157349109649658
"V191","500","2",27,0.0140998363494873
"V201","500","2",36,0.0145740509033203
"V211","500","2",38,0.0154049396514893
"V221","500","2",38,0.00971889495849609
"V231","500","2",44,0.0210838317871094
"V241","500","2",14,0.0155007839202881
"V251","500","2",36,0.0175199508666992
"V261","500","2",51,0.0181198120117188
"V271","500","2",46,0.0180590152740479
"V281","500","2",18,0.0200660228729248
"V291","500","2",40,0.0153229236602783
"V301","500","2",45,0.0262129306793213
"V311","500","2",48,0.0144031047821045
"V321","500","2",57,0.0189669132232666
"V331","500","2",28,0.0121481418609619
"V341","500","2",16,0.0323269367218018
"V351","500","2",35,0.0136349201202393
"V361","500","2",42,0.0183289051055908
"V371","500","2",30,0.0134038925170898
"V381","500","2",18,0.0101678371429443
"V391","500","2",28,0.0105018615722656
"V401","500","2",23,0.0200090408325195
"V411","500","2",24,0.0122909545898438
"V421","500","2",29,0.00931596755981445
"V431","500","2",27,0.0144109725952148
"V441","500","2",25,0.0120360851287842
"V451","500","2",26,0.0151791572570801
"V461","500","2",38,0.0114719867706299
"V471","500","2",31,0.0155801773071289
"V481","500","2",25,0.0158600807189941
"V491","500","2",14,0.0121479034423828
"V501","500","2",33,0.0126807689666748
"V511","500","2",24,0.0128371715545654
"V521","500","2",53,0.0111391544342041
"V531","500","2",33,0.0148859024047852
"V541","500","2",32,0.0130159854888916
"V551","500","2",19,0.016279935836792
"V561","500","2",29,0.0164370536804199
"V571","500","2",22,0.0208089351654053
"V581","500","2",36,0.0152990818023682
"V591","500","2",37,0.0178999900817871
"V601","500","2",22,0.0197958946228027
"V611","500","2",13,0.0140459537506104
"V621","500","2",25,0.0182809829711914
"V631","500","2",32,0.0167338848114014
"V641","500","2",32,0.0275919437408447
"V651","500","2",23,0.0165090560913086
"V661","500","2",28,0.0122439861297607
"V671","500","2",24,0.0128090381622314
"V681","500","2",28,0.0149950981140137
"V691","500","2",37,0.0316479206085205
"V701","500","2",48,0.0141069889068604
"V711","500","2",17,0.0111401081085205
"V721","500","2",28,0.0121538639068604
"V731","500","2",36,0.0141141414642334
"V741","500","2",32,0.0103490352630615
"V751","500","2",22,0.0178530216217041
"V761","500","2",31,0.0143909454345703
"V771","500","2",48,0.0129377841949463
"V781","500","2",33,0.0130538940429688
"V791","500","2",27,0.0149579048156738
"V801","500","2",28,0.0126760005950928
"V811","500","2",43,0.00921797752380371
"V821","500","2",32,0.0142757892608643
"V831","500","2",74,0.0120608806610107
"V841","500","2",32,0.0118098258972168
"V851","500","2",34,0.0157308578491211
"V861","500","2",26,0.0119600296020508
"V871","500","2",31,0.011836051940918
"V881","500","2",32,0.0168027877807617
"V891","500","2",39,0.012005090713501
"V901","500","2",63,0.0141880512237549
"V911","500","2",29,0.0162620544433594
"V921","500","2",41,0.0207729339599609
"V931","500","2",52,0.0179429054260254
"V941","500","2",32,0.0164978504180908
"V951","500","2",44,0.0189661979675293
"V961","500","2",57,0.0135760307312012
"V971","500","2",32,0.015408992767334
"V981","500","2",20,0.0201091766357422
"V991","500","2",49,0.0158109664916992
"V1001","500","2",54,0.0158460140228271
"V112","500","3",25,0.0160961151123047
"V212","500","3",24,0.0160319805145264
"V312","500","3",32,0.0150141716003418
"V412","500","3",25,0.0172250270843506
"V512","500","3",32,0.0177681446075439
"V612","500","3",39,0.0152380466461182
"V712","500","3",51,0.0179200172424316
"V812","500","3",26,0.0145778656005859
"V912","500","3",24,0.0163021087646484
"V102","500","3",59,0.0138781070709229
"V113","500","3",35,0.0156009197235107
"V122","500","3",37,0.0153069496154785
"V132","500","3",24,0.0144190788269043
"V142","500","3",24,0.0164470672607422
"V152","500","3",39,0.0144338607788086
"V162","500","3",34,0.0270378589630127
"V172","500","3",48,0.0158431529998779
"V182","500","3",42,0.01528000831604
"V192","500","3",24,0.0149469375610352
"V202","500","3",27,0.0134320259094238
"V213","500","3",28,0.0162818431854248
"V222","500","3",23,0.015559196472168
"V232","500","3",39,0.0175571441650391
"V242","500","3",22,0.0169339179992676
"V252","500","3",40,0.0143308639526367
"V262","500","3",26,0.0154738426208496
"V272","500","3",30,0.013707160949707
"V282","500","3",38,0.0159370899200439
"V292","500","3",32,0.0165398120880127
"V302","500","3",29,0.0151669979095459
"V313","500","3",32,0.0197558403015137
"V322","500","3",28,0.0144469738006592
"V332","500","3",56,0.0154120922088623
"V342","500","3",47,0.013524055480957
"V352","500","3",27,0.0169157981872559
"V362","500","3",30,0.0164260864257812
"V372","500","3",28,0.01357102394104
"V382","500","3",28,0.0244278907775879
"V392","500","3",37,0.0138120651245117
"V402","500","3",40,0.0166380405426025
"V413","500","3",35,0.0150740146636963
"V422","500","3",28,0.0152170658111572
"V432","500","3",42,0.0156168937683105
"V442","500","3",28,0.0140039920806885
"V452","500","3",29,0.0148940086364746
"V462","500","3",50,0.014976978302002
"V472","500","3",32,0.0179538726806641
"V482","500","3",26,0.0177280902862549
"V492","500","3",48,0.0202679634094238
"V502","500","3",22,0.0134530067443848
"V513","500","3",32,0.0137059688568115
"V522","500","3",41,0.015470027923584
"V532","500","3",28,0.013178825378418
"V542","500","3",56,0.0152759552001953
"V552","500","3",35,0.0161361694335938
"V562","500","3",40,0.0186882019042969
"V572","500","3",36,0.0151510238647461
"V582","500","3",51,0.0134999752044678
"V592","500","3",71,0.0169110298156738
"V602","500","3",43,0.0152661800384521
"V613","500","3",49,0.015625
"V622","500","3",28,0.0172169208526611
"V632","500","3",29,0.0155971050262451
"V642","500","3",24,0.0154259204864502
"V652","500","3",46,0.0171120166778564
"V662","500","3",31,0.0151209831237793
"V672","500","3",48,0.0133140087127686
"V682","500","3",51,0.0137269496917725
"V692","500","3",51,0.0162971019744873
"V702","500","3",52,0.0132870674133301
"V713","500","3",26,0.0152299404144287
"V722","500","3",32,0.0212619304656982
"V732","500","3",37,0.0132360458374023
"V742","500","3",33,0.0159029960632324
"V752","500","3",36,0.0136899948120117
"V762","500","3",54,0.0159239768981934
"V772","500","3",48,0.0139322280883789
"V782","500","3",36,0.0154850482940674
"V792","500","3",22,0.0163910388946533
"V802","500","3",54,0.0145289897918701
"V813","500","3",34,0.0172309875488281
"V822","500","3",54,0.0150399208068848
"V832","500","3",30,0.0162599086761475
"V842","500","3",47,0.0164568424224854
"V852","500","3",34,0.012239933013916
"V862","500","3",33,0.0156469345092773
"V872","500","3",33,0.0148310661315918
"V882","500","3",24,0.0166659355163574
"V892","500","3",25,0.0193569660186768
"V902","500","3",40,0.0200541019439697
"V913","500","3",42,0.0157179832458496
"V922","500","3",50,0.0131118297576904
"V932","500","3",27,0.0231740474700928
"V942","500","3",27,0.0163519382476807
"V952","500","3",48,0.0150520801544189
"V962","500","3",40,0.0152280330657959
"V972","500","3",32,0.0143070220947266
"V982","500","3",66,0.0150938034057617
"V992","500","3",22,0.0147538185119629
"V1002","500","3",62,0.0169658660888672
"V114","500","4",31,0.0158109664916992
"V214","500","4",31,0.013530969619751
"V314","500","4",33,0.0166299343109131
"V414","500","4",32,0.0135819911956787
"V514","500","4",51,0.0151998996734619
"V614","500","4",49,0.0153069496154785
"V714","500","4",29,0.0140190124511719
"V814","500","4",58,0.0150189399719238
"V914","500","4",42,0.0137181282043457
"V103","500","4",39,0.0150799751281738
"V115","500","4",42,0.0134060382843018
"V123","500","4",58,0.0202031135559082
"V133","500","4",53,0.0224499702453613
"V143","500","4",40,0.0231339931488037
"V153","500","4",34,0.0154569149017334
"V163","500","4",58,0.0158309936523438
"V173","500","4",69,0.0171890258789062
"V183","500","4",22,0.0169448852539062
"V193","500","4",37,0.0140540599822998
"V203","500","4",37,0.0155041217803955
"V215","500","4",25,0.0130691528320312
"V223","500","4",60,0.0133199691772461
"V233","500","4",41,0.0111920833587646
"V243","500","4",45,0.0104939937591553
"V253","500","4",53,0.0170609951019287
"V263","500","4",30,0.0172650814056396
"V273","500","4",30,0.017009973526001
"V283","500","4",46,0.012923002243042
"V293","500","4",59,0.0144109725952148
"V303","500","4",70,0.016977071762085
"V315","500","4",50,0.014693021774292
"V323","500","4",36,0.0128810405731201
"V333","500","4",35,0.00980782508850098
"V343","500","4",52,0.0154299736022949
"V353","500","4",49,0.0170581340789795
"V363","500","4",32,0.0168070793151855
"V373","500","4",45,0.0151760578155518
"V383","500","4",58,0.0150871276855469
"V393","500","4",33,0.0134110450744629
"V403","500","4",49,0.0156819820404053
"V415","500","4",32,0.0149910449981689
"V423","500","4",28,0.0161559581756592
"V433","500","4",49,0.0159649848937988
"V443","500","4",48,0.0152719020843506
"V453","500","4",54,0.02262282371521
"V463","500","4",64,0.0174629688262939
"V473","500","4",39,0.0207450389862061
"V483","500","4",36,0.0172839164733887
"V493","500","4",45,0.0132870674133301
"V503","500","4",38,0.0154030323028564
"V515","500","4",34,0.0132629871368408
"V523","500","4",54,0.0170149803161621
"V533","500","4",62,0.0134379863739014
"V543","500","4",37,0.0153110027313232
"V553","500","4",32,0.0137560367584229
"V563","500","4",40,0.0126850605010986
"V573","500","4",26,0.0175261497497559
"V583","500","4",45,0.0144879817962646
"V593","500","4",55,0.0161490440368652
"V603","500","4",51,0.0161190032958984
"V615","500","4",50,0.00925207138061523
"V623","500","4",30,0.0134320259094238
"V633","500","4",27,0.0154569149017334
"V643","500","4",45,0.0149829387664795
"V653","500","4",61,0.0145339965820312
"V663","500","4",30,0.0097501277923584
"V673","500","4",39,0.00844216346740723
"V683","500","4",46,0.0156080722808838
"V693","500","4",28,0.0137460231781006
"V703","500","4",48,0.0153419971466064
"V715","500","4",35,0.0135178565979004
"V723","500","4",42,0.0165960788726807
"V733","500","4",26,0.0176920890808105
"V743","500","4",50,0.0143380165100098
"V753","500","4",34,0.0156469345092773
"V763","500","4",64,0.0140738487243652
"V773","500","4",65,0.0171470642089844
"V783","500","4",63,0.013714075088501
"V793","500","4",59,0.0202291011810303
"V803","500","4",43,0.0181789398193359
"V815","500","4",47,0.0207910537719727
"V823","500","4",58,0.0168910026550293
"V833","500","4",44,0.0144309997558594
"V843","500","4",42,0.0150718688964844
"V853","500","4",34,0.016355037689209
"V863","500","4",30,0.013484001159668
"V873","500","4",59,0.0191740989685059
"V883","500","4",57,0.0136749744415283
"V893","500","4",62,0.0118429660797119
"V903","500","4",36,0.00880813598632812
"V915","500","4",31,0.018388032913208
"V923","500","4",26,0.0164740085601807
"V933","500","4",36,0.0150909423828125
"V943","500","4",32,0.0154209136962891
"V953","500","4",51,0.0123879909515381
"V963","500","4",40,0.0107719898223877
"V973","500","4",32,0.00966286659240723
"V983","500","4",44,0.0136618614196777
"V993","500","4",41,0.015355110168457
"V1003","500","4",29,0.010516881942749
"V116","500","5",62,0.0095069408416748
"V216","500","5",37,0.0122671127319336
"V316","500","5",53,0.0085599422454834
"V416","500","5",46,0.016035795211792
"V516","500","5",27,0.012099027633667
"V616","500","5",48,0.0130331516265869
"V716","500","5",40,0.0131440162658691
"V816","500","5",33,0.0129659175872803
"V916","500","5",34,0.0145299434661865
"V104","500","5",41,0.0123269557952881
"V117","500","5",52,0.015300989151001
"V124","500","5",25,0.00934696197509766
"V134","500","5",44,0.0120408535003662
"V144","500","5",54,0.00900411605834961
"V154","500","5",48,0.0118160247802734
"V164","500","5",32,0.0106289386749268
"V174","500","5",30,0.0140140056610107
"V184","500","5",48,0.0145609378814697
"V194","500","5",53,0.0135951042175293
"V204","500","5",60,0.0118651390075684
"V217","500","5",44,0.0150749683380127
"V224","500","5",30,0.00916290283203125
"V234","500","5",46,0.0149910449981689
