"","Pasos","Dimension","Valor M","Tiempo"
"V1","500","1",18,0.0233840942382812
"V2","500","1",30,0.0155909061431885
"V3","500","1",26,0.0179228782653809
"V4","500","1",17,0.0134701728820801
"V5","500","1",14,0.0146229267120361
"V6","500","1",16,0.00960516929626465
"V7","500","1",25,0.00931286811828613
"V8","500","1",18,0.0122380256652832
"V9","500","1",21,0.0115120410919189
"V10","500","1",26,0.0106849670410156
"V11","500","1",28,0.0118231773376465
"V12","500","1",28,0.010828971862793
"V13","500","1",18,0.0132548809051514
"V14","500","1",31,0.00971698760986328
"V15","500","1",33,0.0111830234527588
"V16","500","1",25,0.0148961544036865
"V17","500","1",16,0.0112919807434082
"V18","500","1",37,0.0119681358337402
"V19","500","1",50,0.0123281478881836
"V20","500","1",32,0.010591983795166
"V21","500","1",18,0.0117809772491455
"V22","500","1",50,0.0105907917022705
"V23","500","1",18,0.00920414924621582
"V24","500","1",19,0.0124049186706543
"V25","500","1",47,0.0141270160675049
"V26","500","1",18,0.0104529857635498
"V27","500","1",25,0.0137221813201904
"V28","500","1",24,0.00902485847473145
"V29","500","1",16,0.0116441249847412
"V30","500","1",31,0.011012077331543
"V31","500","1",25,0.0106661319732666
"V32","500","1",40,0.0115160942077637
"V33","500","1",23,0.0107560157775879
"V34","500","1",36,0.0201730728149414
"V35","500","1",13,0.0145800113677979
"V36","500","1",32,0.0151140689849854
"V37","500","1",32,0.013077974319458
"V38","500","1",34,0.0137600898742676
"V39","500","1",16,0.0144839286804199
"V40","500","1",39,0.0076298713684082
"V41","500","1",14,0.0120561122894287
"V42","500","1",29,0.0101749897003174
"V43","500","1",23,0.0111448764801025
"V44","500","1",18,0.0121729373931885
"V45","500","1",24,0.0135390758514404
"V46","500","1",40,0.0133638381958008
"V47","500","1",70,0.0101408958435059
"V48","500","1",28,0.0111470222473145
"V49","500","1",46,0.00874686241149902
"V50","500","1",17,0.012470006942749
"V51","500","1",11,0.0107190608978271
"V52","500","1",32,0.00850200653076172
"V53","500","1",21,0.0121381282806396
"V54","500","1",14,0.00994706153869629
"V55","500","1",16,0.0116021633148193
"V56","500","1",12,0.016045093536377
"V57","500","1",20,0.0102260112762451
"V58","500","1",34,0.0155761241912842
"V59","500","1",34,0.00918698310852051
"V60","500","1",79,0.00955486297607422
"V61","500","1",43,0.00887489318847656
"V62","500","1",21,0.00990009307861328
"V63","500","1",19,0.0101349353790283
"V64","500","1",20,0.00879597663879395
"V65","500","1",22,0.0148909091949463
"V66","500","1",16,0.00717902183532715
"V67","500","1",35,0.0139470100402832
"V68","500","1",20,0.0256838798522949
"V69","500","1",49,0.0185348987579346
"V70","500","1",44,0.012833833694458
"V71","500","1",41,0.0113708972930908
"V72","500","1",48,0.0113570690155029
"V73","500","1",28,0.0211429595947266
"V74","500","1",23,0.00993895530700684
"V75","500","1",23,0.0146198272705078
"V76","500","1",23,0.0119280815124512
"V77","500","1",22,0.00919699668884277
"V78","500","1",16,0.00777888298034668
"V79","500","1",42,0.0157179832458496
"V80","500","1",43,0.011605978012085
"V81","500","1",26,0.0146970748901367
"V82","500","1",47,0.0086359977722168
"V83","500","1",57,0.0125429630279541
"V84","500","1",32,0.0161690711975098
"V85","500","1",25,0.00931310653686523
"V86","500","1",30,0.0138518810272217
"V87","500","1",22,0.0146441459655762
"V88","500","1",39,0.00774097442626953
"V89","500","1",40,0.0156021118164062
"V90","500","1",31,0.00707697868347168
"V91","500","1",55,0.0117371082305908
"V92","500","1",28,0.0157358646392822
"V93","500","1",36,0.0114240646362305
"V94","500","1",18,0.0196042060852051
"V95","500","1",9,0.00973606109619141
"V96","500","1",25,0.0185821056365967
"V97","500","1",15,0.00849699974060059
"V98","500","1",24,0.00792407989501953
"V99","500","1",19,0.00941181182861328
"V100","500","1",39,0.00669097900390625
"V110","500","2",51,0.0104451179504395
"V210","500","2",36,0.0120599269866943
"V310","500","2",20,0.0318219661712646
"V410","500","2",38,0.0135040283203125
"V510","500","2",34,0.0105690956115723
"V610","500","2",18,0.00928497314453125
"V710","500","2",22,0.00895905494689941
"V810","500","2",55,0.0103127956390381
"V910","500","2",28,0.0159270763397217
"V101","500","2",45,0.0100810527801514
"V111","500","2",42,0.00892210006713867
"V121","500","2",33,0.00932788848876953
"V131","500","2",33,0.0122499465942383
"V141","500","2",42,0.011415958404541
"V151","500","2",23,0.0100851058959961
"V161","500","2",46,0.00918292999267578
"V171","500","2",29,0.0119578838348389
"V181","500","2",36,0.0119218826293945
"V191","500","2",66,0.00989007949829102
"V201","500","2",40,0.0110340118408203
"V211","500","2",24,0.0101120471954346
"V221","500","2",36,0.0127739906311035
"V231","500","2",32,0.0119638442993164
"V241","500","2",29,0.0121579170227051
"V251","500","2",39,0.0121390819549561
"V261","500","2",18,0.00923299789428711
"V271","500","2",50,0.0192289352416992
"V281","500","2",23,0.0158331394195557
"V291","500","2",26,0.011836051940918
"V301","500","2",32,0.0123801231384277
"V311","500","2",31,0.0110189914703369
"V321","500","2",35,0.0122990608215332
"V331","500","2",35,0.0133850574493408
"V341","500","2",22,0.0122139453887939
"V351","500","2",44,0.0289530754089355
"V361","500","2",40,0.00993514060974121
"V371","500","2",37,0.0133669376373291
"V381","500","2",32,0.0164589881896973
"V391","500","2",48,0.0132100582122803
"V401","500","2",41,0.0123710632324219
"V411","500","2",19,0.0141479969024658
"V421","500","2",40,0.0116300582885742
"V431","500","2",36,0.0127980709075928
"V441","500","2",35,0.0121679306030273
"V451","500","2",42,0.0107660293579102
"V461","500","2",36,0.0157890319824219
"V471","500","2",59,0.0128879547119141
"V481","500","2",33,0.0150880813598633
"V491","500","2",27,0.0091550350189209
"V501","500","2",35,0.0116310119628906
"V511","500","2",31,0.0122330188751221
"V521","500","2",18,0.00969099998474121
"V531","500","2",51,0.0152239799499512
"V541","500","2",42,0.00886988639831543
"V551","500","2",24,0.0107488632202148
"V561","500","2",35,0.0176601409912109
"V571","500","2",44,0.0110549926757812
"V581","500","2",20,0.0130400657653809
"V591","500","2",28,0.0132181644439697
"V601","500","2",51,0.0122530460357666
"V611","500","2",16,0.0107738971710205
"V621","500","2",33,0.0128238201141357
"V631","500","2",22,0.00943589210510254
"V641","500","2",38,0.0120570659637451
"V651","500","2",31,0.00910496711730957
"V661","500","2",68,0.00881791114807129
"V671","500","2",29,0.00884318351745605
"V681","500","2",42,0.0127918720245361
"V691","500","2",33,0.0108201503753662
"V701","500","2",28,0.0304000377655029
"V711","500","2",37,0.00974202156066895
"V721","500","2",38,0.0089409351348877
"V731","500","2",24,0.011038064956665
"V741","500","2",27,0.0133481025695801
"V751","500","2",22,0.0130801200866699
"V761","500","2",24,0.00977492332458496
"V771","500","2",25,0.0123469829559326
"V781","500","2",21,0.0127220153808594
"V791","500","2",59,0.0117471218109131
"V801","500","2",20,0.0124220848083496
"V811","500","2",28,0.00766611099243164
"V821","500","2",34,0.0128970146179199
"V831","500","2",28,0.0134410858154297
"V841","500","2",40,0.0103640556335449
"V851","500","2",41,0.0140080451965332
"V861","500","2",46,0.0129768848419189
"V871","500","2",32,0.0138421058654785
"V881","500","2",33,0.0116438865661621
"V891","500","2",25,0.00926709175109863
"V901","500","2",31,0.0119390487670898
"V911","500","2",37,0.012768030166626
"V921","500","2",32,0.0100679397583008
"V931","500","2",27,0.00848197937011719
"V941","500","2",19,0.0118300914764404
"V951","500","2",29,0.0120489597320557
"V961","500","2",35,0.0135140419006348
"V971","500","2",35,0.0143311023712158
"V981","500","2",34,0.0126099586486816
"V991","500","2",47,0.0156118869781494
"V1001","500","2",49,0.0107829570770264
"V112","500","3",33,0.0132689476013184
"V212","500","3",43,0.0129268169403076
"V312","500","3",53,0.0132839679718018
"V412","500","3",47,0.0143802165985107
"V512","500","3",41,0.0143008232116699
"V612","500","3",45,0.0102441310882568
"V712","500","3",50,0.0126049518585205
"V812","500","3",33,0.012153148651123
