"","Iteracion","Poblacion","Tiempo","Porcentaje","Tipo"
"1",1,50,0.0860049724578857,4,"Paralelo"
"2",2,50,0.0850050449371338,4,"Paralelo"
"3",3,50,0.100006103515625,4,"Paralelo"
"4",4,50,0.0820050239562988,6,"Paralelo"
"5",5,50,0.0960049629211426,6,"Paralelo"
"6",6,50,0.0910050868988037,2,"Paralelo"
"7",7,50,0.100006103515625,4,"Paralelo"
"8",8,50,0.0790050029754639,2,"Paralelo"
"9",9,50,0.0990049839019775,2,"Paralelo"
"10",10,50,0.0840048789978027,2,"Paralelo"
"11",11,50,0.0850050449371338,4,"Paralelo"
"12",12,50,0.0930049419403076,8,"Paralelo"
"13",13,50,0.0910060405731201,2,"Paralelo"
"14",14,50,0.0750038623809814,2,"Paralelo"
"15",15,50,0.0800039768218994,4,"Paralelo"
"16",16,50,0.0960049629211426,4,"Paralelo"
"17",17,50,0.0950050354003906,6,"Paralelo"
"18",18,50,0.0990049839019775,4,"Paralelo"
"19",19,50,0.0830049514770508,4,"Paralelo"
"20",20,50,0.100006103515625,6,"Paralelo"
"21",21,50,0.0810039043426514,8,"Paralelo"
"22",22,50,0.0820050239562988,6,"Paralelo"
"23",23,50,0.0900049209594727,2,"Paralelo"
"24",24,50,0.109007120132446,2,"Paralelo"
"25",25,50,0.0830039978027344,2,"Paralelo"
"26",1,100,0.115006923675537,1,"Paralelo"
"27",2,100,0.109005928039551,1,"Paralelo"
"28",3,100,0.133008003234863,1,"Paralelo"
"29",4,100,0.132006883621216,1,"Paralelo"
"30",5,100,0.120007038116455,1,"Paralelo"
"31",6,100,0.115006923675537,2,"Paralelo"
"32",7,100,0.119006156921387,2,"Paralelo"
"33",8,100,0.134007930755615,1,"Paralelo"
"34",9,100,0.13700795173645,1,"Paralelo"
"35",10,100,0.126007080078125,1,"Paralelo"
"36",11,100,0.125006914138794,1,"Paralelo"
"37",12,100,0.16500997543335,1,"Paralelo"
"38",13,100,0.135007858276367,1,"Paralelo"
"39",14,100,0.14300799369812,1,"Paralelo"
"40",15,100,0.106006145477295,1,"Paralelo"
"41",16,100,0.103005886077881,1,"Paralelo"
"42",17,100,0.108006000518799,1,"Paralelo"
"43",18,100,0.098006010055542,1,"Paralelo"
"44",19,100,0.101005077362061,1,"Paralelo"
"45",20,100,0.0990059375762939,1,"Paralelo"
"46",21,100,0.09700608253479,1,"Paralelo"
"47",22,100,0.113005876541138,1,"Paralelo"
"48",23,100,0.117006778717041,1,"Paralelo"
"49",24,100,0.0940048694610596,1,"Paralelo"
"50",25,100,0.110007047653198,1,"Paralelo"
"51",1,200,0.193011045455933,5.5,"Paralelo"
"52",2,200,0.16300892829895,4.5,"Paralelo"
"53",3,200,0.160008907318115,8,"Paralelo"
"54",4,200,0.190011024475098,5,"Paralelo"
"55",5,200,0.225013017654419,7,"Paralelo"
"56",6,200,0.238013982772827,7.5,"Paralelo"
"57",7,200,0.183010101318359,7,"Paralelo"
"58",8,200,0.192011117935181,7.5,"Paralelo"
"59",9,200,0.207011938095093,8,"Paralelo"
"60",10,200,0.179009914398193,10,"Paralelo"
"61",11,200,0.191011190414429,6.5,"Paralelo"
"62",12,200,0.183010816574097,9.5,"Paralelo"
"63",13,200,0.174010038375854,5,"Paralelo"
"64",14,200,0.206011056900024,7,"Paralelo"
"65",15,200,0.194011211395264,7,"Paralelo"
"66",16,200,0.180009841918945,6,"Paralelo"
"67",17,200,0.184010028839111,8,"Paralelo"
"68",18,200,0.167008876800537,4.5,"Paralelo"
"69",19,200,0.164009094238281,6,"Paralelo"
"70",20,200,0.178010940551758,8.5,"Paralelo"
"71",21,200,0.173010110855103,7,"Paralelo"
"72",22,200,0.180009841918945,6,"Paralelo"
"73",23,200,0.181010007858276,6.5,"Paralelo"
"74",24,200,0.194011211395264,6.5,"Paralelo"
"75",25,200,0.176009893417358,7,"Paralelo"
"76",1,300,0.303018093109131,0.666666666666667,"Paralelo"
"77",2,300,0.305016994476318,1.66666666666667,"Paralelo"
"78",3,300,0.350019931793213,0.666666666666667,"Paralelo"
"79",4,300,0.315017938613892,1,"Paralelo"
"80",5,300,0.324018955230713,0.333333333333333,"Paralelo"
"81",6,300,0.3280189037323,0.333333333333333,"Paralelo"
"82",7,300,0.333019018173218,0.666666666666667,"Paralelo"
"83",8,300,0.331019163131714,1,"Paralelo"
"84",9,300,0.302016973495483,1,"Paralelo"
"85",10,300,0.265015125274658,0.333333333333333,"Paralelo"
"86",11,300,0.279016017913818,1,"Paralelo"
"87",12,300,0.267014980316162,0.333333333333333,"Paralelo"
"88",13,300,0.297017097473145,0.333333333333333,"Paralelo"
"89",14,300,0.295017004013062,0.333333333333333,"Paralelo"
"90",15,300,0.284017086029053,0.333333333333333,"Paralelo"
"91",16,300,0.259013891220093,1.33333333333333,"Paralelo"
"92",17,300,0.310018062591553,1.66666666666667,"Paralelo"
"93",18,300,0.3000168800354,1,"Paralelo"
"94",19,300,0.297016859054565,1.66666666666667,"Paralelo"
"95",20,300,0.285017013549805,1,"Paralelo"
"96",21,300,0.297017097473145,0.666666666666667,"Paralelo"
"97",22,300,0.287015914916992,0.666666666666667,"Paralelo"
"98",23,300,0.264014959335327,0.333333333333333,"Paralelo"
"99",24,300,0.300018072128296,1.66666666666667,"Paralelo"
"100",25,300,0.263015031814575,0.666666666666667,"Paralelo"
