"","Repeticion","Cantidad","Tiempo","Tipo"
"1",1,300,0.0720040798187256,"Paralelo"
"2",2,300,0.0730040073394775,"Paralelo"
"3",3,300,0.0670039653778076,"Paralelo"
"4",4,300,0.0680038928985596,"Paralelo"
"5",5,300,0.0560030937194824,"Paralelo"
"6",6,300,0.0530030727386475,"Paralelo"
"7",7,300,0.0610039234161377,"Paralelo"
"8",8,300,0.0680038928985596,"Paralelo"
"9",9,300,0.0580029487609863,"Paralelo"
"10",10,300,0.10300612449646,"Paralelo"
"11",11,300,0.0610029697418213,"Paralelo"
"12",12,300,0.0540030002593994,"Paralelo"
"13",13,300,0.0570042133331299,"Paralelo"
"14",14,300,0.0580029487609863,"Paralelo"
"15",15,300,0.0620040893554688,"Paralelo"
"16",16,300,0.0570030212402344,"Paralelo"
"17",17,300,0.0600030422210693,"Paralelo"
"18",18,300,0.0700039863586426,"Paralelo"
"19",19,300,0.0790050029754639,"Paralelo"
"20",20,300,0.0660040378570557,"Paralelo"
"21",1,500,0.107006072998047,"Paralelo"
"22",2,500,0.0910050868988037,"Paralelo"
"23",3,500,0.106005907058716,"Paralelo"
"24",4,500,0.0940060615539551,"Paralelo"
"25",5,500,0.104006052017212,"Paralelo"
"26",6,500,0.108006000518799,"Paralelo"
"27",7,500,0.101006031036377,"Paralelo"
"28",8,500,0.0890049934387207,"Paralelo"
"29",9,500,0.0900049209594727,"Paralelo"
"30",10,500,0.0930049419403076,"Paralelo"
"31",11,500,0.101005792617798,"Paralelo"
"32",12,500,0.098006010055542,"Paralelo"
"33",13,500,0.117005825042725,"Paralelo"
"34",14,500,0.115007162094116,"Paralelo"
"35",15,500,0.118006944656372,"Paralelo"
"36",16,500,0.112005949020386,"Paralelo"
"37",17,500,0.110006093978882,"Paralelo"
"38",18,500,0.126007080078125,"Paralelo"
"39",19,500,0.126007080078125,"Paralelo"
"40",20,500,0.11700701713562,"Paralelo"
"41",1,700,0.160008907318115,"Paralelo"
"42",2,700,0.161009073257446,"Paralelo"
"43",3,700,0.221012830734253,"Paralelo"
"44",4,700,0.116006135940552,"Paralelo"
"45",5,700,0.119006872177124,"Paralelo"
"46",6,700,0.125007152557373,"Paralelo"
"47",7,700,0.112006902694702,"Paralelo"
"48",8,700,0.112005949020386,"Paralelo"
"49",9,700,0.109005928039551,"Paralelo"
"50",10,700,0.136008024215698,"Paralelo"
"51",11,700,0.11700701713562,"Paralelo"
"52",12,700,0.118006944656372,"Paralelo"
"53",13,700,0.125006914138794,"Paralelo"
"54",14,700,0.118006944656372,"Paralelo"
"55",15,700,0.109005928039551,"Paralelo"
"56",16,700,0.112005949020386,"Paralelo"
"57",17,700,0.115007162094116,"Paralelo"
"58",18,700,0.129006862640381,"Paralelo"
"59",19,700,0.112007141113281,"Paralelo"
"60",20,700,0.114006042480469,"Paralelo"
"61",1,1000,0.19101095199585,"Paralelo"
"62",2,1000,0.201012134552002,"Paralelo"
"63",3,1000,0.17700982093811,"Paralelo"
"64",4,1000,0.169009923934937,"Paralelo"
"65",5,1000,0.174010038375854,"Paralelo"
"66",6,1000,0.166008949279785,"Paralelo"
"67",7,1000,0.173010110855103,"Paralelo"
"68",8,1000,0.18501091003418,"Paralelo"
"69",9,1000,0.174009799957275,"Paralelo"
"70",10,1000,0.168009042739868,"Paralelo"
"71",11,1000,0.19101095199585,"Paralelo"
"72",12,1000,0.208011865615845,"Paralelo"
"73",13,1000,0.19701099395752,"Paralelo"
"74",14,1000,0.162009954452515,"Paralelo"
"75",15,1000,0.187010049819946,"Paralelo"
"76",16,1000,0.193011999130249,"Paralelo"
"77",17,1000,0.188009977340698,"Paralelo"
"78",18,1000,0.204012155532837,"Paralelo"
"79",19,1000,0.207011938095093,"Paralelo"
"80",20,1000,0.188010931015015,"Paralelo"
