"","Largo","Dimensión","Semilla"
"1",26,40,12
"2",18,40,12
"3",23,40,12
"4",16,40,12
"5",64,40,12
"6",11,40,12
"7",12,40,12
"8",27,40,12
"9",23,40,12
"10",13,40,12
"11",38,40,12
"12",58,40,12
"13",35,40,12
"14",59,40,12
"15",20,40,12
"16",24,40,12
"17",31,40,12
"18",14,40,12
"19",14,40,12
"20",8,40,12
"21",4,40,12
"22",79,40,12
"23",7,40,12
"24",16,40,12
"25",8,40,12
"26",26,40,12
"27",23,40,12
"28",20,40,12
"29",31,40,12
"30",30,40,12
"31",14,40,12
"32",45,40,12
"33",16,40,12
"34",66,40,12
"35",149,40,12
"36",2,40,12
"37",7,40,12
"38",20,40,12
"39",75,40,12
"40",12,40,12
"41",30,40,12
"42",19,40,12
"43",14,40,12
"44",17,40,12
"45",65,40,12
"46",10,40,12
"47",14,40,12
"48",10,40,12
"49",42,40,12
"50",10,40,12
"51",42,40,12
"52",15,40,12
"53",27,40,12
"54",6,40,12
"55",74,40,12
"56",30,40,12
"57",36,40,12
"58",40,40,12
"59",22,40,12
"60",116,40,12
"61",33,40,12
"62",5,40,12
"63",37,40,12
"64",11,40,12
"65",92,40,12
"66",38,40,12
"67",12,40,12
"68",12,40,12
"69",12,40,12
"70",32,40,12
"71",64,40,12
"72",43,40,12
"73",5,40,12
"74",8,40,12
"75",21,40,12
"76",2,40,12
"77",38,40,12
"78",11,40,12
"79",86,40,12
"80",29,40,12
"81",43,40,12
"82",13,40,12
"83",15,40,12
"84",7,40,12
"85",69,40,12
"86",19,40,12
"87",21,40,12
"88",42,40,12
"89",55,40,12
"90",22,40,12
"91",39,40,12
"92",56,40,12
"93",50,40,12
"94",10,40,12
"95",36,40,12
"96",52,40,12
"97",31,40,12
"98",7,40,12
"99",56,40,12
"100",10,40,12
"101",20,40,12
"102",15,40,12
"103",78,40,12
"104",7,40,12
"105",10,40,12
"106",13,40,12
"107",43,40,12
"108",34,40,12
"109",11,40,12
"110",18,40,12
"111",21,40,12
"112",20,40,12
"113",17,40,12
"114",53,40,12
"115",58,40,12
"116",2,40,12
"117",22,40,12
"118",24,40,12
"119",25,40,12
"120",18,40,12
"121",39,40,12
"122",27,40,12
"123",12,40,12
"124",6,40,12
"125",23,40,12
"126",34,40,12
"127",27,40,12
"128",86,40,12
"129",109,40,12
"130",13,40,12
"131",46,40,12
"132",15,40,12
"133",14,40,12
"134",18,40,12
"135",34,40,12
"136",15,40,12
"137",12,40,12
"138",73,40,12
"139",5,40,12
"140",21,40,12
"141",16,40,12
"142",35,40,12
"143",39,40,12
"144",68,40,12
"145",39,40,12
"146",23,40,12
"147",22,40,12
"148",13,40,12
"149",16,40,12
"150",12,40,12
"151",24,40,12
"152",36,40,12
"153",29,40,12
"154",28,40,12
"155",17,40,12
"156",46,40,12
"157",51,40,12
"158",9,40,12
"159",32,40,12
"160",12,40,12
"161",49,40,12
"162",37,40,12
"163",27,40,12
"164",30,40,12
"165",23,40,12
"166",18,40,12
"167",82,40,12
"168",30,40,12
"169",10,40,12
"170",15,40,12
"171",35,40,12
"172",6,40,12
"173",30,40,12
"174",43,40,12
"175",23,40,12
"176",8,40,12
"177",59,40,12
"178",13,40,12
"179",9,40,12
"180",103,40,12
"181",4,40,12
"182",29,40,12
"183",80,40,12
"184",5,40,12
"185",46,40,12
"186",17,40,12
"187",31,40,12
"188",57,40,12
"189",36,40,12
"190",43,40,12
"191",11,40,12
"192",7,40,12
"193",12,40,12
"194",31,40,12
"195",51,40,12
"196",10,40,12
"197",61,40,12
"198",26,40,12
"199",36,40,12
"200",14,40,12
"201",13,40,20
"202",2,40,20
"203",10,40,20
"204",12,40,20
"205",48,40,20
"206",9,40,20
"207",11,40,20
"208",73,40,20
"209",51,40,20
"210",18,40,20
"211",23,40,20
"212",20,40,20
"213",8,40,20
"214",7,40,20
"215",57,40,20
"216",20,40,20
"217",2,40,20
"218",14,40,20
"219",9,40,20
"220",52,40,20
"221",6,40,20
"222",145,40,20
"223",30,40,20
"224",3,40,20
"225",63,40,20
"226",14,40,20
"227",10,40,20
"228",40,40,20
"229",22,40,20
"230",44,40,20
"231",19,40,20
"232",26,40,20
"233",9,40,20
"234",37,40,20
"235",35,40,20
"236",32,40,20
"237",107,40,20
"238",123,40,20
"239",112,40,20
"240",12,40,20
"241",14,40,20
"242",7,40,20
"243",19,40,20
"244",11,40,20
"245",45,40,20
"246",53,40,20
"247",35,40,20
"248",20,40,20
"249",13,40,20
"250",17,40,20
"251",124,40,20
"252",115,40,20
"253",10,40,20
"254",14,40,20
"255",10,40,20
"256",84,40,20
"257",125,40,20
"258",12,40,20
"259",2,40,20
"260",12,40,20
"261",3,40,20
"262",11,40,20
"263",36,40,20
"264",30,40,20
"265",37,40,20
"266",6,40,20
"267",24,40,20
"268",63,40,20
"269",84,40,20
"270",18,40,20
"271",75,40,20
"272",10,40,20
"273",20,40,20
"274",15,40,20
"275",25,40,20
"276",49,40,20
"277",38,40,20
"278",8,40,20
"279",3,40,20
"280",33,40,20
"281",85,40,20
"282",13,40,20
"283",15,40,20
"284",97,40,20
"285",112,40,20
"286",10,40,20
"287",10,40,20
"288",78,40,20
"289",45,40,20
"290",78,40,20
"291",55,40,20
"292",15,40,20
"293",10,40,20
"294",198,40,20
"295",47,40,20
"296",26,40,20
"297",7,40,20
"298",20,40,20
"299",13,40,20
"300",13,40,20
"301",15,40,20
"302",40,40,20
"303",40,40,20
"304",35,40,20
"305",31,40,20
