"","iteraciones","distancia","masa"
"1",1,0.00655239123537705,"1"
"2",2,0.000188943423483665,"20"
"3",3,0.000136704191191647,"24"
"4",4,0.000136179287942451,"24"
"5",5,0.000383526129352012,"10"
"6",6,0.000181200208532137,"96"
"7",7,0.000604722232680708,"15"
"8",8,0.00016939784044164,"52"
"9",9,7.24271225443475e-05,"86"
"10",10,0.000821394116322949,"10"
"11",11,0.000279333737632471,"58"
"12",12,0.000154658015091318,"47"
"13",13,0.000907863583750962,"4"
"14",14,7.84098777523308e-05,"75"
"15",15,0.000165888486654048,"20"
"16",16,0.000425980977768752,"29"
"17",17,0.000158234579186605,"69"
"18",18,0.000211235245378997,"61"
"19",19,0.000163083524811135,"60"
"20",20,3.63830808506578e-05,"52"
"21",21,7.63429615938625e-05,"27"
"22",22,0.00113548465524556,"5"
"23",23,0.00108819585943808,"4"
"24",24,8.04888980223373e-05,"10"
"25",25,0.000246643706878087,"7"
"26",26,0.000105549736640832,"24"
"27",27,0.000320018756063899,"35"
"28",28,0.000616325580725437,"14"
"29",29,0.000525195744515392,"22"
"30",30,0.000223412148963699,"52"
"31",31,0.000194233938368027,"77"
"32",32,4.40744964627649e-05,"49"
"33",33,3.71483340431959e-05,"24"
"34",34,0.000208902084596767,"27"
"35",35,0.000548455489355996,"20"
"36",36,8.6300910478934e-05,"158"
"37",37,3.32890145783288e-05,"136"
"38",38,0.00014276964355127,"48"
"39",39,0.000194857988805369,"105"
"40",40,0.000185411838576384,"21"
"41",41,0.00292834605059893,"2"
"42",42,0.000216443241381004,"45"
"43",43,9.50778871483782e-06,"42"
"44",44,0.000262865384956928,"59"
"45",45,0.000142642373425436,"69"
"46",46,0.000155684338336941,"40"
"47",47,0.000268743357421723,"62"
"48",48,0.000231877157686441,"10"
"49",49,0.000201229815649659,"26"
"50",50,4.20879795875666e-05,"104"
"51",1,0.00653810648289576,"1"
"52",2,0.000189191406478462,"20"
"53",3,0.000136697125844925,"24"
"54",4,0.00013462199277028,"24"
"55",5,0.00038319901747792,"10"
"56",6,0.00018098566359649,"96"
"57",7,0.000605049250242985,"15"
"58",8,0.000169524103735488,"52"
"59",9,7.23815839151872e-05,"86"
"60",10,0.000821815908021335,"10"
"61",11,0.000279106583093219,"58"
"62",12,0.000154840268790051,"47"
"63",13,0.000909027793194017,"4"
"64",14,7.8538949205538e-05,"75"
"65",15,0.000166030585462684,"20"
"66",16,0.00042603239925092,"29"
"67",17,0.000158304062703292,"69"
"68",18,0.000211431915191725,"61"
"69",19,0.000163298977917667,"60"
"70",20,3.60300011586369e-05,"52"
"71",21,7.66558569014367e-05,"27"
"72",22,0.00113458705966929,"5"
"73",23,0.00108584573140241,"4"
"74",24,8.05061872496062e-05,"10"
"75",25,0.000246753823676065,"7"
"76",26,0.000105734673577967,"24"
"77",27,0.000320069868711991,"35"
"78",28,0.000615199839849565,"14"
"79",29,0.000525339346165755,"22"
"80",30,0.000223887265726045,"52"
"81",31,0.000194179676614608,"77"
"82",32,4.3805714154039e-05,"49"
"83",33,3.71523246959591e-05,"24"
"84",34,0.000209149022945168,"27"
"85",35,0.000548620851478889,"20"
"86",36,8.63841422582369e-05,"158"
"87",37,3.33982919517123e-05,"136"
"88",38,0.000142827475888798,"48"
"89",39,0.000194791844131268,"105"
"90",40,0.000185565818359192,"21"
"91",41,0.00286647331778593,"2"
"92",42,0.000216610548050246,"45"
"93",43,9.31627613514608e-06,"42"
"94",44,0.000263119715390563,"59"
"95",45,0.000142886858505027,"69"
"96",46,0.000156177859575312,"40"
"97",47,0.00026863167822601,"62"
"98",48,0.000231312385918875,"10"
"99",49,0.0002013408604266,"26"
"100",50,4.21653712408846e-05,"104"
"101",1,0.00652172543412576,"1"
"102",2,0.000189432440840388,"20"
"103",3,0.000136691571477685,"24"
"104",4,0.000132817090507135,"24"
"105",5,0.000382838484048078,"10"
"106",6,0.000180761530822804,"96"
"107",7,0.000605348347703359,"15"
"108",8,0.000169642568967969,"52"
"109",9,7.23345582949122e-05,"86"
"110",10,0.000822193494736795,"10"
"111",11,0.000278862607674416,"58"
"112",12,0.000155014145592585,"47"
"113",13,0.000910176157841704,"4"
"114",14,7.86652528461729e-05,"75"
"115",15,0.000166165702926776,"20"
"116",16,0.000426064351779797,"29"
"117",17,0.000158366626472714,"69"
"118",18,0.00021161864609012,"61"
"119",19,0.000163507732378989,"60"
"120",20,3.56710590720483e-05,"52"
"121",21,7.69664948900869e-05,"27"
"122",22,0.0011336832845068,"5"
"123",23,0.00108353103467224,"4"
"124",24,8.05200924415078e-05,"10"
"125",25,0.00024685262606198,"7"
"126",26,0.000105914064360373,"24"
