"","iteraciones","distancia","masa"
"1",1,0.00250060517605039,"20"
"2",2,0.00305988356862074,"5"
"3",3,0.0128151141096908,"41"
"4",4,0.00869355934130776,"21"
"5",5,0.00917460568635277,"23"
"6",6,0.00264134469283731,"14"
"7",7,0.001045434192556,"13"
"8",8,0.00847241961704896,"36"
"9",9,0.00815534192084829,"34"
"10",10,0.00638285759423588,"30"
"11",11,0.0130425958161106,"81"
"12",12,0.00414237366891959,"13"
"13",13,0.012124833798165,"59"
"14",14,0.00508129922028725,"69"
"15",15,0.02008662168922,"75"
"16",16,0.0105034257675373,"41"
"17",17,0.0135590809876021,"43"
"18",18,0.017555260069993,"98"
"19",19,0.016485126499559,"54"
"20",20,0.0135204836515251,"39"
"21",21,0.00755873769360866,"48"
"22",22,0.00517073163176897,"75"
"23",23,0.00857821474713415,"54"
"24",24,0.0111887046244599,"27"
"25",25,0.00869282891601106,"101"
"26",26,0.0127395946315918,"59"
"27",27,0.00655403330260656,"83"
"28",28,0.00681809843366692,"21"
"29",29,0.00534639914777286,"8"
"30",30,0.00264035363172675,"121"
"31",31,0.00874945885770755,"21"
"32",32,0.0193309417332666,"95"
"33",33,0.0178795385722561,"59"
"34",34,0.0133961283675333,"105"
"35",35,0.0109178834037129,"86"
"36",36,0.00367074225742174,"24"
"37",37,0.00785355702662622,"16"
"38",38,0.00307643141794149,"9"
"39",39,0.0141765287499213,"50"
"40",40,0.00837040675426154,"17"
"41",41,0.00360876823437345,"33"
"42",42,0.013709010773887,"46"
"43",43,0.00605129836843067,"12"
"44",44,0.0159072835454183,"119"
"45",45,0.0213844658799976,"83"
"46",46,0.0115813410088976,"41"
"47",47,0.0170854551804917,"63"
"48",48,0.0224964458697461,"118"
"49",49,0.00911346673855579,"46"
"50",50,0.00688877836565318,"28"
"51",1,0.00213915150404883,"20"
"52",2,0.00319335801031676,"5"
"53",3,0.013422031455919,"41"
"54",4,0.00924322154403694,"21"
"55",5,0.0098078957325724,"23"
"56",6,0.00341013390921434,"14"
"57",7,0.000998172689362486,"13"
"58",8,0.00909986390498487,"36"
"59",9,0.00866901533852837,"34"
"60",10,0.00756904491698555,"30"
"61",11,0.0154492926752483,"81"
"62",12,0.00440891887474996,"13"
"63",13,0.0127003327382394,"59"
"64",14,0.00544814126109805,"69"
"65",15,0.020046608248273,"75"
"66",16,0.0106932283521147,"41"
"67",17,0.0145540586437564,"43"
"68",18,0.0181357960821177,"98"
"69",19,0.0174876309226555,"54"
"70",20,0.0145259775204422,"39"
"71",21,0.00837123479120432,"48"
"72",22,0.00505634977564351,"75"
"73",23,0.00892980793411844,"54"
"74",24,0.0120081579412952,"27"
"75",25,0.00870787030903224,"101"
"76",26,0.0128783393384769,"59"
"77",27,0.00685398690414885,"83"
"78",28,0.0074291705333457,"21"
"79",29,0.00540160927814814,"8"
"80",30,0.00162482958291829,"121"
"81",31,0.00931641942908186,"21"
"82",32,0.0203779026730109,"95"
"83",33,0.0184258531622191,"59"
"84",34,0.0143281717892813,"105"
"85",35,0.0115773677651414,"86"
"86",36,0.00400921535139836,"24"
"87",37,0.00806031923848437,"16"
"88",38,0.00334987894861159,"9"
"89",39,0.0153532825439348,"50"
"90",40,0.00889894570693113,"17"
"91",41,0.00356918743217588,"33"
"92",42,0.0148472266174842,"46"
"93",43,0.00621396630903892,"12"
"94",44,0.0151654840864037,"119"
"95",45,0.0229647736736823,"83"
"96",46,0.0124088906055664,"41"
"97",47,0.0183858890427235,"63"
"98",48,0.0236373607582364,"118"
"99",49,0.00929607434134204,"46"
"100",50,0.00746423175751413,"28"
"101",1,0.00158952292034528,"20"
"102",2,0.0031335165316806,"5"
"103",3,0.0131883023076085,"41"
"104",4,0.00923247480070651,"21"
"105",5,0.00984603786350848,"23"
"106",6,0.00409372105976735,"14"
"107",7,0.00106929020568041,"13"
"108",8,0.00917693514214997,"36"
"109",9,0.00865145695400648,"34"
"110",10,0.00792415378184906,"30"
"111",11,0.0157779914641219,"81"
"112",12,0.0044180855427699,"13"
