"","iteraciones","distancia","masa"
"1",1,0.000154309661417008,"128"
"2",2,0.000393689056358015,"26"
"3",3,0.000235403386445308,"13"
"4",4,0.000555343395148613,"15"
"5",5,0.000252863352306386,"57"
"6",6,0.000429729734684107,"54"
"7",7,0.000289725315340078,"20"
"8",8,0.000312844698010964,"47"
"9",9,0.000249043088999044,"59"
"10",10,0.00188144040263026,"2"
"11",11,0.000102494914044445,"74"
"12",12,0.000470918288660988,"19"
"13",13,0.000300613618676432,"48"
"14",14,0.000326558311762659,"22"
"15",15,0.000547864547345767,"9"
"16",16,0.000189508215082684,"95"
"17",17,0.000277157361438041,"45"
"18",18,0.000325788060397259,"42"
"19",19,0.000264385081742588,"17"
"20",20,0.000300400384979554,"43"
"21",21,0.000554437795948966,"8"
"22",22,0.000216479130618264,"57"
"23",23,0.000187386738560852,"91"
"24",24,0.0002581171967924,"14"
"25",25,0.00027722076913109,"39"
"26",26,0.000174769935122541,"49"
"27",27,0.000225357462967827,"59"
"28",28,0.000266962843433904,"28"
"29",29,0.000287162786827561,"36"
"30",30,0.000296402447031426,"21"
"31",31,0.000285014465672158,"46"
"32",32,0.000514460383038954,"16"
"33",33,0.000236968582434419,"45"
"34",34,0.000798506788906286,"8"
"35",35,0.000470499750385941,"23"
"36",36,0.00311839752179006,"2"
"37",37,0.000528088869411215,"21"
"38",38,0.000261720458242627,"67"
"39",39,0.000242350254228741,"92"
"40",40,0.002199383464078,"1"
"41",41,0.000387872493175316,"21"
"42",42,0.000185789231750428,"58"
"43",43,0.000515840959707372,"19"
"44",44,0.00021221459980862,"73"
"45",45,0.000273102121055196,"33"
"46",46,0.000204155372503501,"87"
"47",47,0.000245480836313891,"51"
"48",48,0.003940565901115,"2"
"49",49,0.00032551586388776,"45"
"50",50,0.000195827855823192,"56"
"51",1,0.000153585753468787,"128"
"52",2,0.000392729345507554,"26"
"53",3,0.000233983875479392,"13"
"54",4,0.000554319164178819,"15"
"55",5,0.000251871805145303,"57"
"56",6,0.000429190270069745,"54"
"57",7,0.000289276477227394,"20"
"58",8,0.00031232160218383,"47"
"59",9,0.000248098940479705,"59"
"60",10,0.00187904180499723,"2"
"61",11,0.000103035923692646,"74"
"62",12,0.000469928193734746,"19"
"63",13,0.000300198709509101,"48"
"64",14,0.000326194441847074,"22"
"65",15,0.000544568124236576,"9"
"66",16,0.000188960955338201,"95"
"67",17,0.000276121022414939,"45"
"68",18,0.000325471991452029,"42"
"69",19,0.000263724661821167,"17"
"70",20,0.000299949678377141,"43"
"71",21,0.00055330263660289,"8"
"72",22,0.000216069818702066,"57"
"73",23,0.000186367752683307,"91"
"74",24,0.00025776380341309,"14"
"75",25,0.000276847149571517,"39"
"76",26,0.000173969693081656,"49"
"77",27,0.000224301243718103,"59"
"78",28,0.000266170343301932,"28"
"79",29,0.000286716519355716,"36"
"80",30,0.000294399579209322,"21"
"81",31,0.000284523841208447,"46"
"82",32,0.000513698968397851,"16"
"83",33,0.000236920438749083,"45"
"84",34,0.000797315818016841,"8"
"85",35,0.000469756597052314,"23"
"86",36,0.00311122467252739,"2"
"87",37,0.00052655636617072,"21"
"88",38,0.000261072646370011,"67"
"89",39,0.000242336017196611,"92"
"90",40,0.00217317288615902,"1"
"91",41,0.000387389208639369,"21"
"92",42,0.000185179711538075,"58"
"93",43,0.000514804567175804,"19"
"94",44,0.000211323502802049,"73"
"95",45,0.000272884819305226,"33"
"96",46,0.000203757349482964,"87"
"97",47,0.00024441289579412,"51"
"98",48,0.00394887314056626,"2"
"99",49,0.000325119724511942,"45"
"100",50,0.000195181315156048,"56"
"101",1,0.000152857625400866,"128"
"102",2,0.000391785266436725,"26"
"103",3,0.000232574046935752,"13"
"104",4,0.000553277540169696,"15"
"105",5,0.000250889458798005,"57"
"106",6,0.000428658233223889,"54"
"107",7,0.00028883329197531,"20"
"108",8,0.000311808434955346,"47"
"109",9,0.000247163716299178,"59"
"110",10,0.00187668433050483,"2"
"111",11,0.000103495712614885,"74"
"112",12,0.000468947660195634,"19"
"113",13,0.000299790382656418,"48"
"114",14,0.000325835014925342,"22"
"115",15,0.000540971504293304,"9"
"116",16,0.000188414601009804,"95"
"117",17,0.000275095303971022,"45"
"118",18,0.000325158704518425,"42"
"119",19,0.000263071019067209,"17"
"120",20,0.000299506315057896,"43"
"121",21,0.000552183791782252,"8"
"122",22,0.000215664146226285,"57"
"123",23,0.000185347469562018,"91"
"124",24,0.000257411067705539,"14"
"125",25,0.000276481213307464,"39"
"126",26,0.00017317359748745,"49"
